,Time,Source,Destination,Protocol,Length,Info,Label
9353,22.357532,10.0.0.85,10.0.0.1,UDP,38,1025  >  1000 Len=10,attack
9354,22.36325,10.0.0.103,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=00cd)",attack
9355,22.368518,10.0.0.119,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00cc)",attack
9356,22.373574,10.0.0.119,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=00cc)",attack
9357,22.380035,10.0.0.107,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=480, ID=00cb)",attack
9358,22.38896,10.0.0.113,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=192, ID=00cc)",attack
9359,22.398834,10.0.0.104,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=384, ID=00cc)",attack
9360,22.420976,10.0.0.110,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=00cc)",attack
9361,22.432284,10.0.0.114,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=480, ID=00cc)",attack
9362,22.441949,10.0.0.114,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00cd)",attack
9363,22.456021,10.0.0.112,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=480, ID=00ce)",attack
9364,22.462631,10.0.0.9,10.0.0.1,UDP,38,1025  >  1000 Len=10,attack
9365,22.5016,10.0.0.116,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=480, ID=00cf)",attack
9366,22.511253,10.0.0.112,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=192, ID=00cf)",attack
9367,22.520333,10.0.0.106,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00cc)",attack
9368,22.534,10.0.0.115,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00d0)",attack
9369,22.548243,10.0.0.71,10.0.0.1,UDP,38,1025  >  1000 Len=10,attack
9370,22.557911,10.0.0.119,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=00ce)",attack
9371,22.564608,10.0.0.87,10.0.0.1,UDP,38,1025  >  1000 Len=10,attack
9372,22.571667,10.0.0.107,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=384, ID=00cd)",attack
9373,22.576723,10.0.0.107,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=480, ID=00cd)",attack
9374,22.590914,10.0.0.104,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=00cf)",attack
9375,22.608,10.0.0.115,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00d1)",attack
9376,22.617125,10.0.0.112,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00d1)",attack
9377,22.626211,10.0.0.103,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=384, ID=00cf)",attack
9378,22.650148,10.0.0.111,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00d2)",attack
9379,22.65512,10.0.0.118,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=384, ID=00cd)",attack
9380,22.660176,10.0.0.118,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00ce)",attack
9381,22.665397,10.0.0.112,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=192, ID=00d1)",attack
9382,22.694546,10.0.0.121,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=288, ID=00cd)",attack
9383,22.703662,10.0.0.102,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=288, ID=00d2)",attack
9384,22.708717,10.0.0.106,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00ce)",attack
9385,22.717909,10.0.0.120,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=00d0)",attack
9386,22.730357,10.0.0.2,10.0.0.1,UDP,38,1025  >  1000 Len=10,attack
9387,22.739392,10.0.0.116,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=288, ID=00d2)",attack
9388,22.748871,10.0.0.119,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=288, ID=00cf)",attack
9389,22.757895,10.0.0.119,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00d0)",attack
9390,22.763043,10.0.0.108,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=00d0)",attack
9391,22.768029,10.0.0.114,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=288, ID=00d0)",attack
9392,22.773085,10.0.0.114,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00d1)",attack
9393,22.791859,10.0.0.107,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00d0)",attack
9394,22.803217,10.0.0.90,10.0.0.1,UDP,38,1025  >  1000 Len=10,attack
9395,22.809581,10.0.0.5,10.0.0.1,UDP,38,1025  >  1000 Len=10,attack
9396,22.823673,10.0.0.105,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=288, ID=00cd)",attack
9397,22.843369,10.0.0.105,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00ce)",attack
9398,22.848419,10.0.0.104,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00d2)",attack
9399,22.857891,10.0.0.108,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=00d1)",attack
9400,22.863408,10.0.0.115,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=288, ID=00d3)",attack
9401,22.881854,10.0.0.117,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=00d2)",attack
9402,22.914915,10.0.0.108,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=00d2)",attack
9403,22.925059,10.0.0.103,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=192, ID=00d3)",attack
9404,22.934432,10.0.0.110,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=288, ID=00d1)",attack
9405,22.941806,10.0.0.114,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=192, ID=00d2)",attack
9406,22.944284,10.0.0.6,10.0.0.1,UDP,38,1025  >  1000 Len=10,attack
9407,22.949591,10.0.0.119,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=480, ID=00d0)",attack
9408,22.952237,10.0.0.38,10.0.0.1,UDP,38,1025  >  1000 Len=10,attack
